graph_type,vertices,edges,algorithm,pairing_total_us_mean,pairing_total_us_median,pairing_heap_fraction_mean,fib_total_us_mean,fib_total_us_median,fib_heap_fraction_mean,speedup_mean_pairing_over_fib,speedup_median_pairing_over_fib
grid,900,1740,dijkstra,223.4,229.0,0.5919346488783909,430.6,426.0,0.7924613260765759,1.927484333034915,1.8602620087336244
grid,4900,9660,dijkstra,1457.6,1295.0,0.5941592681715756,2609.8,2562.0,0.8036947867260272,1.790477497255763,1.9783783783783784
grid,900,1740,prim,224.2,231.0,0.5591630805704801,423.6,417.0,0.7699293855124096,1.889384478144514,1.8051948051948052
grid,4900,9660,prim,1381.2,1287.0,0.5609508876479301,2603.2,2702.0,0.7797730428416163,1.8847379090645813,2.0994560994560993
random_dense,1000,19976,dijkstra,457.0,457.0,0.41050328227571115,689.0,689.0,0.6126269956458635,1.5076586433260395,1.5076586433260395
random_dense,1000,19978,dijkstra,503.0,503.0,0.44831013916500995,681.0,681.0,0.5997063142437592,1.3538767395626243,1.3538767395626243
random_dense,1000,19980,dijkstra,472.0,472.0,0.43072033898305084,679.0,679.0,0.6047128129602356,1.4385593220338984,1.4385593220338984
random_dense,1000,19984,dijkstra,469.0,469.0,0.4277185501066098,678.0,678.0,0.6013274336283185,1.4456289978678039,1.4456289978678039
random_dense,1000,19987,dijkstra,472.0,472.0,0.4292372881355932,671.0,671.0,0.6090909090909091,1.4216101694915255,1.4216101694915255
random_dense,5000,99976,dijkstra,2536.0,2536.0,0.3956230283911672,3954.0,3954.0,0.6133282751643905,1.5591482649842272,1.5591482649842272
random_dense,5000,99979,dijkstra,3298.0,3298.0,0.3528805336567617,3601.0,3601.0,0.6130797000833101,1.0918738629472406,1.0918738629472406
random_dense,5000,99980,dijkstra,3165.0,3165.0,0.3554818325434439,3491.0,3491.0,0.6188771125751934,1.103001579778831,1.103001579778831
random_dense,5000,99986,dijkstra,3131.0,3131.0,0.36809326093899714,3592.0,3592.0,0.6259187082405345,1.1472373043755988,1.1472373043755988
random_dense,5000,99989,dijkstra,3417.0,3417.0,0.4716417910447761,3733.0,3733.0,0.6219662469863381,1.0924787825577993,1.0924787825577993
random_dense,1000,19976,prim,485.0,485.0,0.4451546391752577,749.0,749.0,0.62456608811749,1.5443298969072166,1.5443298969072166
random_dense,1000,19978,prim,514.0,514.0,0.4696498054474708,777.0,777.0,0.6353925353925354,1.5116731517509727,1.5116731517509727
random_dense,1000,19980,prim,455.0,455.0,0.4074725274725275,790.0,790.0,0.6250632911392405,1.7362637362637363,1.7362637362637363
random_dense,1000,19984,prim,479.0,479.0,0.4392484342379958,716.0,716.0,0.6067039106145251,1.4947807933194155,1.4947807933194155
random_dense,1000,19987,prim,455.0,455.0,0.40307692307692305,737.0,737.0,0.6096336499321574,1.6197802197802198,1.6197802197802198
random_dense,5000,99976,prim,2445.0,2445.0,0.4231083844580777,3918.0,3918.0,0.614037774374681,1.6024539877300614,1.6024539877300614
random_dense,5000,99979,prim,2375.0,2375.0,0.424,4263.0,4263.0,0.6323246539995309,1.7949473684210526,1.7949473684210526
random_dense,5000,99980,prim,2454.0,2454.0,0.44079054604726975,4456.0,4456.0,0.6237432675044884,1.8158109209453952,1.8158109209453952
random_dense,5000,99986,prim,2481.0,2481.0,0.4467150342603789,4536.0,4536.0,0.6493386243386243,1.8282950423216444,1.8282950423216444
random_dense,5000,99989,prim,3067.0,3067.0,0.3861754157156831,5541.0,5541.0,0.600397040245443,1.8066514509292468,1.8066514509292468
random_sparse,1000,4993,dijkstra,303.0,303.0,0.5138613861386139,596.0,596.0,0.7530201342281879,1.966996699669967,1.966996699669967
random_sparse,1000,4994,dijkstra,335.0,335.0,0.5658216276477146,564.0,564.0,0.733779849854759,1.6835820895522389,1.6835820895522389
random_sparse,1000,4998,dijkstra,334.0,334.0,0.5464237371700058,561.5,561.5,0.7432440753931222,1.6811377245508983,1.6811377245508983
random_sparse,5000,24993,dijkstra,1938.0,1938.0,0.5094427244582044,3275.0,3275.0,0.7499236641221374,1.6898864809081526,1.6898864809081526
random_sparse,5000,24995,dijkstra,1839.0,1839.0,0.5271886895051658,3383.0,3383.0,0.740289683712681,1.8395867319195214,1.8395867319195214
random_sparse,5000,24996,dijkstra,1847.0,1842.0,0.5213310606573894,3400.6666666666665,3534.0,0.7373802601261236,1.8411839018227756,1.9185667752442996
random_sparse,1000,4993,prim,315.0,315.0,0.5257142857142857,557.0,557.0,0.729802513464991,1.7682539682539682,1.7682539682539682
random_sparse,1000,4994,prim,320.5,320.5,0.5185193300223976,574.5,574.5,0.7184551093164538,1.7925117004680187,1.7925117004680187
random_sparse,1000,4998,prim,331.0,331.0,0.5288427044439563,587.0,587.0,0.7260242047829115,1.7734138972809668,1.7734138972809668
random_sparse,5000,24993,prim,1693.0,1693.0,0.5171293561724749,3160.0,3160.0,0.7381329113924051,1.8665091553455404,1.8665091553455404
random_sparse,5000,24995,prim,1669.0,1669.0,0.518573996405033,3058.0,3058.0,0.7292674950948332,1.8322348711803476,1.8322348711803476
random_sparse,5000,24996,prim,2006.6666666666667,1778.0,0.5241064591213757,3147.0,3150.0,0.7304702885387759,1.5682724252491693,1.7716535433070866
synthetic_worst,1000,188499,dijkstra,679.0,660.0,0.1705978037298121,951.8,901.0,0.3580870389608521,1.4017673048600883,1.3651515151515152
synthetic_worst,5000,4692499,dijkstra,13613.4,13540.0,0.04748847310044492,13410.2,13252.0,0.13641129820492906,0.9850735304920153,0.9787296898079764
synthetic_worst,1000,188499,prim,1376.0,1387.0,0.37325851038658364,1488.0,1488.0,0.45322992431095727,1.0813953488372092,1.072819033886085
synthetic_worst,5000,4692499,prim,16449.8,16418.0,0.17211983212797133,17213.6,17060.0,0.21661919258633575,1.0464321754671788,1.0391034230722378
